time_ms,position,velocity
20,18,18
40,65,47
60,130,65
80,205,75
100,286,81
120,371,85
140,458,87
160,546,88
180,635,89
200,725,90
220,815,90
240,905,90
260,996,91
280,1086,90
300,1177,91
320,1268,91
340,1359,91
360,1451,92
380,1542,91
400,1634,92
420,1725,91
440,1816,91
460,1908,92
480,1999,91
500,2091,92
520,2182,91
540,2274,92
560,2365,91
580,2457,92
600,2548,91
620,2640,92
640,2731,91
660,2823,92
680,2914,91
700,3005,91
720,3097,92
740,3188,91
760,3280,92
780,3371,91
800,3463,92
820,3554,91
840,3645,91
860,3737,92
880,3828,91
900,3920,92
920,4011,91
940,4102,91
960,4194,92
980,4285,91
1000,4376,91
1020,4464,88
1040,4549,85
1060,4630,81
1080,4707,77
1100,4781,74
1120,4851,70
1140,4918,67
1160,4982,64
1180,5043,61
1200,5101,58
1220,5155,54
1240,5207,52
1260,5256,49
1280,5302,46
1300,5346,44
1320,5387,41
1340,5425,38
1360,5461,36
1380,5494,33
1400,5525,31
1420,5554,29
1440,5580,26
1460,5604,24
1480,5626,22
1500,5646,20
1520,5663,17
1540,5678,15
1560,5692,14
1580,5703,11
1600,5713,10
1620,5720,7
1640,5725,5
1660,5729,4
1680,5730,1
1700,5731,1
1720,5731,0
1740,5731,0
1760,5731,0
1780,5731,0
1800,5731,0
1820,5731,0
1840,5731,0
1860,5731,0
1880,5731,0
1900,5731,0
1920,5731,0
1940,5731,0
1960,5731,0
1980,5731,0